time,target_flux,filter,norm_target_flux,target_mag,target_flux_err,target_mag_err,diff_mag
2022-11-21T03:09:18.000,121358.81241034815,g,0.9046164383170274,12.289821705268134,348.3659174063217,0.003131614443408727,2.6772575753824395
2022-11-21T03:09:28.000,121258.06754667958,g,0.9038654795861325,12.290723393165814,348.2212910588317,0.0031329150932263177,2.6814561824448493
2022-11-21T03:09:38.000,120982.52559714828,g,0.9018115720697247,12.293193383811706,347.82542402352976,0.003136480726225371,2.6822902799434214
2022-11-21T03:05:08.000,116369.70522384612,g,0.8674273106072501,12.3354001644761,341.1300415147369,0.0031980406466014496,2.70764724099198
2022-11-21T03:09:48.000,121497.06614086783,g,0.9056469905678509,12.288585522740625,348.5642926934253,0.0031298321756109892,2.673683918853225
2022-11-21T03:09:58.000,122301.39808679082,g,0.9116425329243896,12.281421445759491,349.7161678944667,0.003119523312602985,2.6688126674089556
2022-11-21T03:10:08.000,122050.61891589941,g,0.909773208761849,12.283650034859539,349.3574371841816,0.003122726532842693,2.667689904754278
2022-11-21T03:10:18.000,120376.48227889673,g,0.8972940859709913,12.298645880165262,346.9531413302043,0.0031443662229381146,2.679711575798674
2022-11-21T03:10:28.000,121816.65216875772,g,0.908029205493522,12.285733350467174,349.02242359017237,0.0031257239214577703,2.666433013040546
2022-11-21T03:10:38.000,120923.40200278081,g,0.9013708609726487,12.293724107708183,347.7404233085087,0.0031372473989689153,2.675807024432972
2022-11-21T03:10:48.000,121329.97062613572,g,0.9044014497917546,12.290079768859577,348.3245191285502,0.0031319866349642502,2.675625280836524
2022-11-21T03:10:58.000,121470.2719695972,g,0.905447265081905,12.288824990334657,348.52585552523533,0.0031301773491005103,2.6759950108544484
2022-11-21T03:11:08.000,121619.18298683882,g,0.9065572574373656,12.287494796040884,348.7394198923299,0.003128260461285932,2.678294467752826
2022-11-21T03:11:18.000,123054.89542761166,g,0.9172591508460443,12.274752760776416,350.79181208747116,0.003109957818140114,2.664206290498397
2022-11-21T03:05:18.000,117460.02267083933,g,0.875554607388953,12.325274799175796,342.72441213143736,0.003183163206134794,2.7002153961102486
2022-11-21T03:11:28.000,123300.47283299573,g,0.9190897007119948,12.272588144918473,351.1416706017611,0.0031068592248575375,2.6650693043315865
2022-11-21T03:11:38.000,120988.69224046216,g,0.9018575386279019,12.293138043776072,347.8342884772319,0.003136400793944093,2.684375376955323
2022-11-21T03:11:48.000,123419.36874778489,g,0.9199759585521204,12.271541697997543,351.3109288760953,0.0031053623695428433,2.662330458692834
2022-11-21T03:11:58.000,123607.41503084493,g,0.9213776677106227,12.269888689412783,351.5784621259456,0.0031029993474121285,2.659106890121528
2022-11-21T03:12:08.000,123275.92882839245,g,0.9189067481139488,12.272804291429786,351.1067199989092,0.003107168494366492,2.6644243114307997
2022-11-21T03:12:18.000,123551.88656701664,g,0.920963754949152,12.270376546954031,351.499483025248,0.003103696566354853,2.6624419547538363
2022-11-21T03:12:28.000,122419.09711050778,g,0.912519869061037,12.280377069798545,349.8844053548368,0.0031180233295467364,2.6671809937865607
2022-11-21T03:12:38.000,123503.09428429071,g,0.9206000541173769,12.270805403303129,351.4300702619096,0.003104309593450327,2.6594847529429693
2022-11-21T03:12:48.000,123442.6281887514,g,0.9201493359297206,12.271337100955082,351.34403109879554,0.003105069794779583,2.6619430231151373
2022-11-21T03:12:58.000,122694.21011426413,g,0.9145705791878902,12.277939827386941,350.2773331437022,0.003114525649575516,2.6666023177817877
