,time,target_flux,filter,norm_target_flux,target_mag,target_flux_err,target_mag_err,diff_mag,obs_no,color,Anomaly,Anomaly_Score
415,2022-11-06T06:09:52.000,159327.52,g,1.2086669,11.994273,399.1585,0.002733119,0.4632814,20221106,tab:red,1,0.002607560351137239
418,2022-11-06T06:10:22.000,152185.36,g,1.1544862,12.044067,390.10944,0.0027965172,0.48570034,20221106,tab:red,1,0.00207332205195776
427,2022-11-06T06:11:42.000,156700.31,g,1.1887368,12.012325,395.8539,0.0027559353,0.485011,20221106,tab:red,1,0.003226284917800193
429,2022-11-06T06:12:02.000,156635.5,g,1.1882452,12.012774,395.77203,0.0027565053,0.49068213,20221106,tab:red,1,0.002000029815109272
430,2022-11-06T06:12:12.000,156858.7,g,1.1899383,12.011229,396.05392,0.0027545434,0.47536552,20221106,tab:red,1,0.0016417853381889835
436,2022-11-06T05:47:32.000,155224.28,g,1.1775396,12.022601,393.98514,0.0027690073,0.42444047,20221106,tab:red,1,0.003991219347161901
439,2022-11-06T06:13:32.000,155388.55,g,1.1787857,12.021453,394.19354,0.0027675435,0.4899413,20221106,tab:red,1,0.005731207679679384
442,2022-11-06T06:14:02.000,151612.16,g,1.1501378,12.048165,389.37405,0.0028017987,0.49879113,20221106,tab:red,1,0.0014602648587866418
447,2022-11-06T05:47:42.000,149789.69,g,1.1363125,12.0612955,387.02673,0.0028187917,0.4267791,20221106,tab:red,1,0.0011702773457578641
457,2022-11-06T06:16:22.000,151594.4,g,1.1500032,12.048292,389.35126,0.0028019627,0.50832933,20221106,tab:red,1,0.001299477220251144
460,2022-11-06T06:16:42.000,153020.25,g,1.1608196,12.038128,391.17804,0.0027888778,0.50656193,20221106,tab:red,1,0.0004202741593922754
467,2022-11-06T06:17:52.000,149061.89,g,1.1307913,12.066584,386.08533,0.0028256648,0.51910955,20221106,tab:red,1,0.0019055959201185746
